,elaped_time,pages_queued
971,21.35,972
972,21.36,973
973,21.36,974
974,21.37,975
975,21.37,976
976,21.38,977
977,21.38,978
978,21.39,979
979,21.39,980
980,21.69,981
981,21.70,982
982,21.70,983
983,21.71,984
984,21.71,985
985,21.72,986
986,21.72,987
987,21.73,988
988,21.73,989
989,21.74,990
990,21.74,991
991,21.75,992
992,21.75,993
993,21.76,994
994,21.76,995
995,21.77,996
996,21.77,997
997,21.78,998
998,21.78,999
999,21.79,1000
1000,22.06,1001
1001,22.06,1002
1002,22.07,1003
1003,22.08,1004
1004,22.08,1005
1005,22.09,1006
1006,22.09,1007
1007,22.10,1008
1008,22.11,1009
1009,22.11,1010
1010,22.12,1011
1011,22.12,1012
1012,22.13,1013
1013,22.13,1014
1014,22.14,1015
1015,22.15,1016
1016,22.15,1017
1017,22.16,1018
1018,22.16,1019
1019,22.17,1020
1020,22.48,1021
1021,22.48,1022
1022,22.49,1023
1023,22.50,1024
1024,22.50,1025
1025,22.51,1026
1026,22.52,1027
1027,22.53,1028
1028,22.53,1029
1029,22.53,1030
1030,22.54,1031
1031,22.55,1032
1032,22.55,1033
1033,22.56,1034
1034,22.56,1035
1035,22.57,1036
1036,22.57,1037
1037,22.58,1038
1038,22.58,1039
1039,22.58,1040
1040,22.96,1041
1041,22.97,1042
1042,22.98,1043
1043,22.99,1044
1044,22.99,1045
1045,23.00,1046
1046,23.00,1047
1047,23.01,1048
1048,23.01,1049
1049,23.01,1050
1050,23.02,1051
1051,23.02,1052
1052,23.02,1053
1053,23.02,1054
1054,23.03,1055
1055,23.03,1056
1056,23.03,1057
1057,23.04,1058
1058,23.04,1059
1059,23.04,1060
1060,23.42,1061
1061,23.43,1062
1062,23.43,1063
1063,23.43,1064
1064,23.44,1065
1065,23.44,1066
1066,23.45,1067
1067,23.45,1068
1068,23.45,1069
1069,23.46,1070
1070,23.46,1071
1071,23.46,1072
1072,23.47,1073
1073,23.47,1074
1074,23.47,1075
1075,23.48,1076
1076,23.48,1077
1077,23.48,1078
1078,23.48,1079
1079,23.49,1080
1080,23.75,1081
1081,23.75,1082
1082,23.76,1083
1083,23.76,1084
1084,23.76,1085
1085,23.76,1086
1086,23.77,1087
1087,23.77,1088
1088,23.77,1089
1089,23.77,1090
1090,23.78,1091
1091,23.78,1092
1092,23.78,1093
1093,23.78,1094
1094,23.78,1095
1095,23.79,1096
1096,23.79,1097
1097,23.79,1098
1098,23.80,1099
1099,23.80,1100
1100,24.85,1101
1101,24.86,1102
1102,24.86,1103
1103,24.87,1104
1104,24.87,1105
1105,24.87,1106
1106,24.88,1107
1107,24.88,1108
1108,24.89,1109
1109,24.89,1110
1110,24.90,1111
1111,24.90,1112
1112,24.91,1113
1113,24.91,1114
1114,24.92,1115
1115,24.92,1116
1116,24.93,1117
1117,24.93,1118
1118,24.94,1119
1119,24.94,1120
1120,25.99,1121
1121,26.00,1122
1122,26.01,1123
1123,26.02,1124
1124,26.02,1125
1125,26.03,1126
1126,26.04,1127
1127,26.05,1128
1128,26.05,1129
1129,26.06,1130
1130,26.07,1131
1131,26.07,1132
1132,26.07,1133
1133,26.08,1134
1134,26.08,1135
1135,26.08,1136
1136,26.09,1137
1137,26.09,1138
1138,26.09,1139
1139,26.09,1140
1140,26.62,1141
1141,26.63,1142
1142,26.63,1143
1143,26.63,1144
1144,26.64,1145
1145,26.64,1146
1146,26.64,1147
1147,26.64,1148
1148,26.65,1149
1149,26.65,1150
1150,26.65,1151
1151,26.66,1152
1152,26.66,1153
1153,26.66,1154
1154,26.66,1155
1155,26.67,1156
1156,26.67,1157
1157,26.67,1158
1158,26.67,1159
1159,26.68,1160
1160,26.95,1161
1161,26.96,1162
1162,26.96,1163
1163,26.97,1164
1164,26.97,1165
1165,26.98,1166
1166,26.98,1167
1167,26.99,1168
1168,26.99,1169
1169,27.00,1170
1170,27.00,1171
1171,27.01,1172
1172,27.01,1173
1173,27.02,1174
1174,27.02,1175
1175,27.03,1176
1176,27.03,1177
1177,27.04,1178
1178,27.04,1179
1179,27.04,1180
1180,27.34,1181
1181,27.34,1182
1182,27.35,1183
1183,27.35,1184
1184,27.35,1185
1185,27.36,1186
1186,27.36,1187
1187,27.36,1188
1188,27.37,1189
1189,27.37,1190
1190,27.37,1191
1191,27.37,1192
1192,27.38,1193
1193,27.38,1194
1194,27.38,1195
1195,27.38,1196
1196,27.39,1197
1197,27.39,1198
1198,27.39,1199
1199,27.39,1200
1200,27.67,1201
1201,27.67,1202
1202,27.67,1203
1203,27.68,1204
1204,27.68,1205
1205,27.68,1206
1206,27.68,1207
1207,27.69,1208
1208,27.69,1209
1209,27.69,1210
1210,27.69,1211
1211,27.69,1212
1212,27.70,1213
1213,27.70,1214
1214,27.70,1215
1215,27.70,1216
1216,27.71,1217
1217,27.71,1218
1218,27.71,1219
1219,27.71,1220
1220,28.01,1221
